README | download CSV				
JobTitle_cleaned__	RoleMultichoice_composite	YearsDataVizExperience_4buckets	OrgSector_collapsed	OrgIndustry_collapsed
Analytics Manager	Leadership	B: 3 to 5 years		
Analytics Manager	Leadership	C: 6 to 10 years		Information technology
Analytics Manager	Leadership	C: 6 to 10 years		Consulting
Analytics Practice Lead	Leadership	C: 6 to 10 years	Public sector (government)	Consulting
Applied Analytics Lead	Analyst	B: 3 to 5 years	Public sector (government)	Consulting
Applied Analytics Lead		B: 3 to 5 years		
Apps Dev Lead Engineer	Developer	C: 6 to 10 years		Finance
Architect	Leadership	C: 6 to 10 years		Healthcare/medical
Architecture Intern	Cartographer	B: 3 to 5 years	Public sector (government)	
Art Director	Leadership	D: 11 or more years	Non-profit	
Art Director	Designer	B: 3 to 5 years	Academia	Information technology
Art Director	Designer	C: 6 to 10 years		
Art Editor	Designer	B: 3 to 5 years		Journalism
Artist		B: 3 to 5 years		
Artist, Illustrator, Graphic Designer		C: 6 to 10 years		
Assessment Librarian	Analyst	C: 6 to 10 years	Academia	
Assistant Director Business Intelligence	Developer	C: 6 to 10 years	Academia	
Assistant Director of Evaluation & Analytics	Leadership	B: 3 to 5 years	2 or more	Healthcare/medical
Assistant Director, Data & Assessment	Analyst	A: 2 or fewer years	Non-profit	
Assistant Lecturer	Student	A: 2 or fewer years		
Assistant Lecturer	Academic	A: 2 or fewer years		
Assistant Policy Researcher	Scientist	C: 6 to 10 years	Non-profit	Consulting
Assistant Professor	Journalist	C: 6 to 10 years		
Assistant Professor	Analyst	D: 11 or more years		
Assistant Professor	Academic	C: 6 to 10 years		
Assistant Professor	Academic	C: 6 to 10 years		
Assistant Professor	Academic	D: 11 or more years		
Assistant Professor	Academic	D: 11 or more years		
Assistant Professor / Ph.D. Candidate	Academic	B: 3 to 5 years		
Assistant System Engineer		A: 2 or fewer years		
Assistant Teaching Professor	Academic	B: 3 to 5 years		
Assistant Vice-President for Institutional Research	Leadership	C: 6 to 10 years	Academia	
Associate	Analyst	A: 2 or fewer years		
Associate	Analyst	C: 6 to 10 years		Healthcare/medical
Associate Analyst		A: 2 or fewer years		
Associate Analytics Consultant	Analyst	A: 2 or fewer years		Consulting
Associate Art Director	Teacher	D: 11 or more years	Public sector (government)	
Associate Content Marketing Manager	Student	B: 3 to 5 years		
Associate Director	Analyst	D: 11 or more years	Academia	
Associate Director Data and Analytics	Leadership	B: 3 to 5 years	Private sector	
Associate Director of Data Science	Scientist	C: 6 to 10 years	Academia	
Associate Director of Institutional Research	Analyst	B: 3 to 5 years	Academia	
Associate Director of Research and Evaluation	Analyst	C: 6 to 10 years	Non-profit	
Associate Director of Space Analytics	Leadership	D: 11 or more years	Public sector (government)	2 or more
Associate Director, Data Analytics		C: 6 to 10 years		
Associate Director, Organizational Effectiveness		B: 3 to 5 years	Non-profit	
Associate Graphics Editor	Journalist	C: 6 to 10 years		Journalism
Associate Manager	Leadership	C: 6 to 10 years		Marketing
Associate Principal Scientist	Scientist	D: 11 or more years	Private sector	Healthcare/medical
Associate Professor	Teacher	D: 11 or more years	Academia	
Associate Professor	Academic	B: 3 to 5 years		
Associate Professor	Academic	C: 6 to 10 years		
Associate Professor	Academic	C: 6 to 10 years		
Associate Professor	Academic	C: 6 to 10 years		
Associate Professor	Academic	D: 11 or more years		
Associate Professor	Academic	D: 11 or more years		
Associate Professor	Academic	D: 11 or more years		
Associate Professor / Research Data Librarian	Academic	B: 3 to 5 years	Public sector (government)	Information technology
Associate Professor & Consultant		C: 6 to 10 years		
Associate Research Scientist	Scientist	B: 3 to 5 years	Public sector (government)	
Audit Data Analyst	Analyst	A: 2 or fewer years		
BI Analyst	Analyst	A: 2 or fewer years		Finance
BI Analyst	Analyst	D: 11 or more years	Private sector	
BI Analyst	Analyst	D: 11 or more years		
BI Analyst / Trainer	Developer	B: 3 to 5 years	Academia	
BI and Data Specialist	Analyst	B: 3 to 5 years		
BI Consultant	Analyst	B: 3 to 5 years		Consulting
BI Consultant	Analyst	B: 3 to 5 years		Consulting
BI Consultant	Analyst	D: 11 or more years		
BI Consultant / Developer	Developer	C: 6 to 10 years		Consulting
BI Data Analyst	Designer	B: 3 to 5 years	Private sector	
BI Data Visualization Lead	Developer	B: 3 to 5 years	Private sector	
BI Developer	Developer	A: 2 or fewer years		Healthcare/medical
BI Developer	Developer	B: 3 to 5 years		Finance
BI Engineer	Engineer	B: 3 to 5 years	Private sector	
BI Manager	Leadership	C: 6 to 10 years	Private sector	
BI Specialist	Analyst	B: 3 to 5 years	Private sector	
BI Support Analyst		B: 3 to 5 years		
BI Visualization Expert		B: 3 to 5 years		Consulting
Bioinformatics Scientist	Scientist	C: 6 to 10 years	Private sector	Healthcare/medical
Biostatistician	Analyst	C: 6 to 10 years	Public sector (government)	Healthcare/medical
Biostatistician	Analyst	C: 6 to 10 years	Public sector (government)	
Biostatistician	Analyst	C: 6 to 10 years	Academia	
Biostatistician	Academic	C: 6 to 10 years		
Board Member	Leadership	D: 11 or more years		Information technology
Brand and Creative Manager		B: 3 to 5 years		
Budgeting & Reporting Manager		B: 3 to 5 years		
Business Analyst	Analyst	B: 3 to 5 years	Public sector (government)	
Business Analyst	Analyst	B: 3 to 5 years	Non-profit	2 or more
Business Analyst	Analyst	B: 3 to 5 years		Information technology
Business Analyst	Analyst	B: 3 to 5 years		Consulting
Business Analyst	Analyst	C: 6 to 10 years	Non-profit	
Business Analyst	Analyst	D: 11 or more years	Private sector	
Business Analyst		A: 2 or fewer years		
Business Analyst		A: 2 or fewer years		
Business Analyst		B: 3 to 5 years		
Business Analytics and Research Manager	Analyst	B: 3 to 5 years	Public sector (government)	
Business Analytics Consultant	Analyst	B: 3 to 5 years		2 or more
Business Analytics Specialist		A: 2 or fewer years		
Business Controller	Analyst	B: 3 to 5 years	Private sector	
Business Coordination Manager	Leadership	A: 2 or fewer years		
Business Data Analyst	Analyst	B: 3 to 5 years	Academia	
Business Data Analyst	Analyst	C: 6 to 10 years	Private sector	
Business Intelligence Analyst	Analyst	A: 2 or fewer years	Public sector (government)	
Business Intelligence Analyst	Analyst	A: 2 or fewer years		Healthcare/medical
Business Intelligence Analyst	Analyst	B: 3 to 5 years	Private sector	
Business Intelligence Analyst	Analyst	B: 3 to 5 years	Academia	
Business Intelligence Analyst	Analyst	B: 3 to 5 years		
Business Intelligence Analyst	Analyst	C: 6 to 10 years	Public sector (government)	
Business Intelligence Analyst	Analyst	C: 6 to 10 years	Private sector	
Business Intelligence Analyst	Analyst	C: 6 to 10 years		Healthcare/medical
Business Intelligence Analyst		B: 3 to 5 years		
Business Intelligence Analyst		C: 6 to 10 years		
Business Intelligence and Reporting Manager	Leadership	D: 11 or more years		Information technology
Business Intelligence Consultant	Analyst	A: 2 or fewer years		Information technology
Business Intelligence Consultant	Analyst	B: 3 to 5 years	Private sector	Finance
Business Intelligence Consultant		B: 3 to 5 years		
Business Intelligence Developer	Developer	B: 3 to 5 years		Finance
Business Intelligence Engineer	Engineer	B: 3 to 5 years	Private sector	Consulting
Business Intelligence Engineer	Developer	C: 6 to 10 years		Finance
Business Intelligence Manager	Leadership	C: 6 to 10 years	Non-profit	
Business Intelligence Senior Analyst	Analyst	D: 11 or more years	Academia	
Business Intelligence Specialist	Analyst	B: 3 to 5 years	Public sector (government)	
Business Operations Analyst	Analyst	B: 3 to 5 years		Healthcare/medical
Business Planning		A: 2 or fewer years		
Cartographer	Student	C: 6 to 10 years		
CEO	Teacher	C: 6 to 10 years		
CEO	Leadership	A: 2 or fewer years		Marketing
CEO	Leadership	B: 3 to 5 years		Information technology
CEO	Leadership	C: 6 to 10 years		
CEO	Leadership	D: 11 or more years	Private sector	Consulting
CEO	Leadership	D: 11 or more years	Academia	2 or more
CEO	Leadership	D: 11 or more years		Information technology
CEO	Designer	C: 6 to 10 years	2 or more	2 or more
CEO		C: 6 to 10 years		
CEO / Community Consultant		D: 11 or more years		
CFD Engineer		B: 3 to 5 years		
Chartered Accountant	Leadership	C: 6 to 10 years	2 or more	Healthcare/medical
Chief Administrative Officer		B: 3 to 5 years		
Chief Creative Officer	Leadership	D: 11 or more years	2 or more	2 or more
Chief Marketing Officer	Leadership	D: 11 or more years		Healthcare/medical
Chief of Staff		C: 6 to 10 years		
Chief Partnership Strategy Officer		C: 6 to 10 years		
Chief Program Officer	Leadership	D: 11 or more years	Non-profit	
Chief Scientist	Leadership	C: 6 to 10 years		Information technology
CIO	Leadership	C: 6 to 10 years	Private sector	
Clinical Data Analyst	Analyst	A: 2 or fewer years		Healthcare/medical
Cloud Solutions Specialist	Designer	C: 6 to 10 years		Information technology
Co-Owner	Leadership	A: 2 or fewer years		
Collection Maintenance Librarian		B: 3 to 5 years	Public sector (government)	
Collections Analyst	Analyst	B: 3 to 5 years		Finance
Columnist	Journalist	D: 11 or more years		Journalism
Commander		A: 2 or fewer years		
Commercial Finance Manager		A: 2 or fewer years		
Commercial Insights Lead		B: 3 to 5 years		Information technology
Commercial Operations Coordinator	Leadership	C: 6 to 10 years		
Communications and Special Projects Officer		C: 6 to 10 years	Academia	
Communications Designer	Designer	A: 2 or fewer years		
Communications Director	Leadership	C: 6 to 10 years	Academia	
Communications Director	Designer	B: 3 to 5 years	Public sector (government)	
Communications Officer		C: 6 to 10 years		
Computational Social Scientist	Developer	B: 3 to 5 years	2 or more	Information technology
Computer Engineer	Developer	B: 3 to 5 years		Information technology
Consultant	Teacher	D: 11 or more years	Private sector	Information technology
Consultant	Leadership	B: 3 to 5 years		Consulting
Consultant	Developer	C: 6 to 10 years		
Consultant	Designer	A: 2 or fewer years		
Consultant	Analyst	A: 2 or fewer years		
Consultant	Analyst	B: 3 to 5 years	Non-profit	Consulting
Consultant	Analyst	B: 3 to 5 years		Consulting
Consultant	Analyst	C: 6 to 10 years		2 or more
Consultant	Analyst	C: 6 to 10 years		
Consultant	Analyst	D: 11 or more years	Public sector (government)	
Consultant		A: 2 or fewer years		
Consultant		C: 6 to 10 years		2 or more
Consultant		C: 6 to 10 years		
Consultant		D: 11 or more years		
Consultant / Coach	Academic	D: 11 or more years		
Consultant Analytics	Analyst	B: 3 to 5 years	Private sector	
Consultant and Lecturer	Analyst	B: 3 to 5 years	Private sector	
Consultant in Clinical Decision Support	Scientist	C: 6 to 10 years		Healthcare/medical
Consultant in Clinical Decision Support	Leadership	B: 3 to 5 years		2 or more
Consulting Manager	Leadership	C: 6 to 10 years		Consulting
Consultor	Designer	C: 6 to 10 years	Public sector (government)	Information technology
Content Specialist	Journalist	B: 3 to 5 years		Journalism
Controller	Analyst	C: 6 to 10 years	Private sector	
Controller	Analyst	D: 11 or more years	Public sector (government)	Finance
COO	Student	A: 2 or fewer years		
COO	Leadership	C: 6 to 10 years		Consulting
Creative Director	Leadership	C: 6 to 10 years	2 or more	2 or more
Creative Director	Leadership	D: 11 or more years		
Creative Director	Leadership	D: 11 or more years		
Creative Director	Designer	C: 6 to 10 years		
Creative Director	Designer	D: 11 or more years		Journalism
Creative Director (of a data visualisation agency)		D: 11 or more years		
Creative Generalist		A: 2 or fewer years		
Creative Lead	Designer	C: 6 to 10 years		Consulting
CTO	Leadership	C: 6 to 10 years	Private sector	
CTO	Leadership	D: 11 or more years		Healthcare/medical
CTO	Analyst	B: 3 to 5 years		
Customer Advisor	Analyst	B: 3 to 5 years		Information technology
CX Analyst	Analyst	C: 6 to 10 years		Finance
Dashboard Visualisation Developer	Developer	C: 6 to 10 years	Private sector	
Data & Analytics	Analyst	C: 6 to 10 years	2 or more	
Data & Analytics Director	Analyst	D: 11 or more years		Marketing
Data & Analytics Lead	Analyst	C: 6 to 10 years		Marketing
Data Ambassador	Academic	D: 11 or more years		
Data Analysis and Strategy Consultant	Analyst	C: 6 to 10 years		
Data Analysis Manager	Analyst	C: 6 to 10 years		Information technology
Data Analyst	Teacher	B: 3 to 5 years		
Data Analyst	Student	A: 2 or fewer years		
Data Analyst	Student	A: 2 or fewer years		
Data Analyst	Engineer	B: 3 to 5 years	2 or more	
Data Analyst	Developer	B: 3 to 5 years		Information technology
Data Analyst	Developer	C: 6 to 10 years	Non-profit	
Data Analyst	Designer	A: 2 or fewer years		
Data Analyst	Analyst	A: 2 or fewer years	Public sector (government)	
Data Analyst	Analyst	A: 2 or fewer years	Private sector	Information technology
Data Analyst	Analyst	A: 2 or fewer years	Private sector	
Data Analyst	Analyst	A: 2 or fewer years	Private sector	
Data Analyst	Analyst	A: 2 or fewer years	Private sector	
Data Analyst	Analyst	A: 2 or fewer years	Non-profit	Healthcare/medical
Data Analyst	Analyst	A: 2 or fewer years	Non-profit	
Data Analyst	Analyst	A: 2 or fewer years	Non-profit	
Data Analyst	Analyst	A: 2 or fewer years		Marketing
Data Analyst	Analyst	A: 2 or fewer years		Information technology
Data Analyst	Analyst	A: 2 or fewer years		Finance
Data Analyst	Analyst	A: 2 or fewer years		Finance
Data Analyst	Analyst	A: 2 or fewer years		Finance
Data Analyst	Analyst	A: 2 or fewer years		
Data Analyst	Analyst	A: 2 or fewer years		
Data Analyst	Analyst	A: 2 or fewer years		
Data Analyst	Analyst	B: 3 to 5 years	Private sector	Consulting
Data Analyst	Analyst	B: 3 to 5 years	Private sector	
Data Analyst	Analyst	B: 3 to 5 years	Private sector	
Data Analyst	Analyst	B: 3 to 5 years	Non-profit	
Data Analyst	Analyst	B: 3 to 5 years	Non-profit	
Data Analyst	Analyst	B: 3 to 5 years	Academia	Information technology
Data Analyst	Analyst	B: 3 to 5 years	Academia	
Data Analyst	Analyst	B: 3 to 5 years	Academia	
Data Analyst	Analyst	B: 3 to 5 years	Academia	
Data Analyst	Analyst	B: 3 to 5 years	2 or more	
Data Analyst	Analyst	B: 3 to 5 years	2 or more	
Data Analyst	Analyst	B: 3 to 5 years		Marketing
Data Analyst	Analyst	B: 3 to 5 years		Healthcare/medical
Data Analyst	Analyst	B: 3 to 5 years		Finance
Data Analyst	Analyst	B: 3 to 5 years		Finance
Data Analyst	Analyst	B: 3 to 5 years		
Data Analyst	Analyst	B: 3 to 5 years		
Data Analyst	Analyst	B: 3 to 5 years		
Data Analyst	Analyst	B: 3 to 5 years		
Data Analyst	Analyst	B: 3 to 5 years		
Data Analyst	Analyst	B: 3 to 5 years		
Data Analyst	Analyst	C: 6 to 10 years	Private sector	Information technology
Data Analyst	Analyst	C: 6 to 10 years	Private sector	
Data Analyst	Analyst	C: 6 to 10 years	Non-profit	
Data Analyst	Analyst	C: 6 to 10 years	Academia	Information technology
Data Analyst	Analyst	C: 6 to 10 years	Academia	
Data Analyst	Analyst	C: 6 to 10 years	2 or more	2 or more
Data Analyst	Analyst	C: 6 to 10 years		Information technology
Data Analyst	Analyst	C: 6 to 10 years		Finance
Data Analyst	Analyst	C: 6 to 10 years		Finance
Data Analyst	Analyst	C: 6 to 10 years		
Data Analyst	Analyst	D: 11 or more years	Public sector (government)	
Data Analyst	Analyst	D: 11 or more years		Healthcare/medical
Data Analyst	Analyst	D: 11 or more years		Consulting
Data Analyst		A: 2 or fewer years		
Data Analyst		A: 2 or fewer years		
Data Analyst		A: 2 or fewer years		
Data Analyst		A: 2 or fewer years		
Data Analyst		A: 2 or fewer years		
Data Analyst		A: 2 or fewer years		
Data Analyst		A: 2 or fewer years		
Data Analyst		B: 3 to 5 years	Non-profit	
Data Analyst		C: 6 to 10 years		
Data Analyst		C: 6 to 10 years		
Data Analyst		C: 6 to 10 years		
Data Analyst / Engineer	Scientist	B: 3 to 5 years	2 or more	
Data Analyst / Engineer	Designer	C: 6 to 10 years	Private sector	
Data Analyst and Data Visualizer		A: 2 or fewer years		
Data Analyst and Research Coordinator	Analyst	C: 6 to 10 years	Public sector (government)	
Data Analyst Lead	Analyst	B: 3 to 5 years	Academia	
Data Analyst Lead	Analyst	C: 6 to 10 years		
Data Analyst, Data Engineer	Student	A: 2 or fewer years		
Data Analytics	Analyst	B: 3 to 5 years	Private sector	2 or more
Data Analytics Developer	Developer	C: 6 to 10 years	Private sector	
Data Analytics Development Lead	Developer	C: 6 to 10 years	Academia	
Data Analytics Instructor	Academic	C: 6 to 10 years		
Data Analytics Lead	Analyst	D: 11 or more years		Healthcare/medical
Data Analytics Lead		B: 3 to 5 years		
Data Analytics Manager	Leadership	B: 3 to 5 years		Consulting
Data Analytics Manager	Analyst	C: 6 to 10 years		2 or more
Data Analytics Manager	Analyst	D: 11 or more years	Private sector	
Data and Analytics Manager	Analyst	B: 3 to 5 years	Non-profit	
Data and Analytics Manager / Adjunct Professor	Leadership	C: 6 to 10 years	Public sector (government)	
Data and Communications Specialist	Analyst	B: 3 to 5 years	Public sector (government)	
Data and Evaluation Manager	Analyst	B: 3 to 5 years	Non-profit	
Data and GIS Analyst	Analyst	D: 11 or more years	2 or more	Healthcare/medical
Data and Learning Manager	Leadership	B: 3 to 5 years	Non-profit	
Data and Reporting Specialist	Analyst	B: 3 to 5 years	Non-profit	
Data and Statistics Consultant		C: 6 to 10 years	Public sector (government)	
Data Architect	Analyst	C: 6 to 10 years	Private sector	Finance
Data Architect		B: 3 to 5 years		
Data Artist	Developer	B: 3 to 5 years		
Data Artist		B: 3 to 5 years		Consulting
Data Associate	Analyst	B: 3 to 5 years	Non-profit	
Data Communications Coordinator		B: 3 to 5 years	Public sector (government)	
Data Consultant	Developer	C: 6 to 10 years		Information technology
Data Consultant	Analyst	B: 3 to 5 years	Academia	
Data Designer	Leadership	C: 6 to 10 years		Consulting
Data Designer	Leadership	C: 6 to 10 years		Consulting
Data Designer	Designer	B: 3 to 5 years	Private sector	Marketing
Data Designer	Designer	B: 3 to 5 years		
Data Designer	Designer	B: 3 to 5 years		
Data Developer	Developer	B: 3 to 5 years	Private sector	
Data Engineer	Engineer	A: 2 or fewer years	Private sector	Information technology
Data Engineer	Engineer	A: 2 or fewer years		Healthcare/medical
Data Engineer	Engineer	B: 3 to 5 years	Public sector (government)	
Data Engineer	Engineer	B: 3 to 5 years		2 or more
Data Engineer	Engineer	B: 3 to 5 years		
Data Engineer	Engineer	B: 3 to 5 years		
Data Engineer	Analyst	D: 11 or more years		
Data Engineer		C: 6 to 10 years		
Data Engineer		C: 6 to 10 years		
Data Engineer		C: 6 to 10 years		
Data Engineer Director	Leadership	B: 3 to 5 years	Academia	Marketing
Data Engineering Manager	Leadership	C: 6 to 10 years		Information technology
Data Experience Designer		D: 11 or more years		
Data Experience Lead	Leadership	B: 3 to 5 years	Public sector (government)	
Data Graphics Designer	Designer	D: 11 or more years	Academia	2 or more
Data Informatics Leader	Leadership	D: 11 or more years		Consulting
Data Journalist	Journalist	B: 3 to 5 years	Public sector (government)	Journalism
Data Journalist	Journalist	B: 3 to 5 years		Healthcare/medical
Data Journalist	Journalist	C: 6 to 10 years		Journalism
Data Journalist	Journalist	C: 6 to 10 years		Journalism
Data Journalist	Journalist	C: 6 to 10 years		Journalism
Data Journalist	Journalist	C: 6 to 10 years		2 or more
Data Journalist	Journalist	C: 6 to 10 years		
Data Journalist	Journalist	D: 11 or more years		Journalism
Data Journalist	Analyst	B: 3 to 5 years		Journalism
Data Journalist		D: 11 or more years		
Data Lead	Leadership	B: 3 to 5 years	Private sector	
Data Literacy Coach	Teacher	A: 2 or fewer years		
Data Management Analyst	Academic	C: 6 to 10 years		
Data Management Support Specialist		B: 3 to 5 years		
Data Manager	Leadership	B: 3 to 5 years	Non-profit	
Data Manager	Engineer	A: 2 or fewer years	Public sector (government)	
Data Manager	Developer	C: 6 to 10 years	Academia	
Data Manager	Analyst	B: 3 to 5 years		2 or more
Data Manager	Analyst	C: 6 to 10 years	Public sector (government)	
Data Officer		B: 3 to 5 years		
Data Product Developer	Developer	B: 3 to 5 years		Information technology
Data Product Leader	Leadership	D: 11 or more years		
Data Project Leader	Leadership	C: 6 to 10 years		Consulting
Data Quality Analyst	Analyst	A: 2 or fewer years	Private sector	
Data Reporter	Journalist	B: 3 to 5 years		Journalism
Data Reporting & Insights	Analyst	A: 2 or fewer years		
Data Research Analyst		B: 3 to 5 years		
Data Science		B: 3 to 5 years		
Data Science Consultant		B: 3 to 5 years		
Data Science Director	Leadership	C: 6 to 10 years		Finance
Data Science Manager	Leadership	D: 11 or more years	Private sector	
Data Science Manager		B: 3 to 5 years		
Data Scientist	Scientist	B: 3 to 5 years		Information technology
Data Scientist	Scientist	C: 6 to 10 years	Public sector (government)	
Data Scientist	Scientist	C: 6 to 10 years	Academia	
Data Scientist	Scientist	C: 6 to 10 years		Finance
Data Scientist	Scientist	D: 11 or more years		Healthcare/medical
Data Scientist	Engineer	A: 2 or fewer years	Academia	2 or more
Data Scientist	Developer	B: 3 to 5 years	Private sector	Information technology
Data Scientist	Developer	B: 3 to 5 years		Consulting
Data Scientist	Developer	C: 6 to 10 years	2 or more	2 or more
Data Scientist	Developer	C: 6 to 10 years		
Data Scientist	Analyst	A: 2 or fewer years		
Data Scientist	Analyst	B: 3 to 5 years	Private sector	Information technology
Data Scientist	Analyst	B: 3 to 5 years	Private sector	
Data Scientist	Analyst	B: 3 to 5 years	Private sector	
Data Scientist	Analyst	B: 3 to 5 years		Healthcare/medical
Data Scientist	Analyst	B: 3 to 5 years		Finance
Data Scientist	Analyst	B: 3 to 5 years		Finance
Data Scientist	Analyst	C: 6 to 10 years	Public sector (government)	
Data Scientist	Analyst	C: 6 to 10 years	Private sector	Consulting
Data Scientist	Analyst	C: 6 to 10 years	Non-profit	
Data Scientist	Analyst	C: 6 to 10 years	Academia	
Data Scientist	Analyst	C: 6 to 10 years	2 or more	Consulting
Data Scientist	Analyst	C: 6 to 10 years		2 or more
Data Scientist	Analyst	D: 11 or more years	Academia	
Data Scientist		A: 2 or fewer years		
Data Scientist		A: 2 or fewer years		
Data Scientist		A: 2 or fewer years		
Data Scientist		B: 3 to 5 years		Marketing
Data Scientist		B: 3 to 5 years		
Data Scientist		B: 3 to 5 years		
Data Scientist		B: 3 to 5 years		
Data Scientist		C: 6 to 10 years		
Data Scientist / Data Visualization Specalist	Scientist	B: 3 to 5 years	Public sector (government)	
Data Scientist / Survey Researcher	Analyst	C: 6 to 10 years		
Data Services Librarian	Academic	B: 3 to 5 years		
Data Solution Specialist		B: 3 to 5 years		
Data Solutions Advisor		B: 3 to 5 years		
Data Solutions Analyst	Student	A: 2 or fewer years		
Data Specialist	Analyst	B: 3 to 5 years		Consulting
Data Specialist		C: 6 to 10 years	Non-profit	
Data Steward		C: 6 to 10 years		
Data Storyteller	Journalist	B: 3 to 5 years		Finance
Data Storyteller	Designer	C: 6 to 10 years	Public sector (government)	
Data Storyteller	Designer	D: 11 or more years		
Data Strategist	Leadership	C: 6 to 10 years	Private sector	Information technology
Data Systems Analyst	Analyst	B: 3 to 5 years	Public sector (government)	
Data Systems and Visualization	Designer	B: 3 to 5 years	Non-profit	
Data Technician / Asistant Director	Scientist	D: 11 or more years	Non-profit	
Data Visualisation Analyst	Analyst	C: 6 to 10 years		
Data Visualisation Consultant	Teacher	C: 6 to 10 years		
Data Visualisation Consultant	Developer	B: 3 to 5 years		
Data Visualisation Consultant	Developer	C: 6 to 10 years		
Data Visualisation Consultant	Developer	C: 6 to 10 years		
Data Visualisation Designer	Designer	C: 6 to 10 years		
Data Visualisation Editor	Journalist	C: 6 to 10 years		Journalism
Data Visualisation Instructor	Teacher	B: 3 to 5 years	Private sector	
Data visualisation Manager	Leadership	C: 6 to 10 years	Non-profit	
Data visualisation Manager	Designer	D: 11 or more years	Private sector	
Data Visualisation Professional	Engineer	C: 6 to 10 years		
Data Visualisation Specialist	Developer	D: 11 or more years		
Data Visualization Advisor	Analyst	D: 11 or more years		Information technology
Data Visualization Advisor		C: 6 to 10 years		Finance
Data Visualization Analyst	Engineer	A: 2 or fewer years		
Data Visualization Analyst	Designer	C: 6 to 10 years		Healthcare/medical
Data Visualization Analyst	Analyst	B: 3 to 5 years	Public sector (government)	Healthcare/medical
Data Visualization Analyst	Analyst	B: 3 to 5 years	Private sector	
Data Visualization Analyst	Analyst	B: 3 to 5 years		Information technology
Data Visualization Analyst	Analyst	D: 11 or more years		Consulting
Data Visualization Architect		B: 3 to 5 years		
Data Visualization Artist	Designer	C: 6 to 10 years		
Data Visualization Consultant	Developer	B: 3 to 5 years		Consulting
